GENE	CHR	START	END
OR4F5	chr1	65419	71585
AL627309.1	chr1	134901	139379
OR4F29	chr1	367640	368634
OR4F16	chr1	621096	622034
SAMD11	chr1	859303	879955
NOC2L	chr1	878907	896094
KLHL17	chr1	895956	901099
PLEKHN1	chr1	901817	911245
PERM1	chr1	910574	917514
HES4	chr1	934342	935552
ISG15	chr1	936518	949920
AGRN	chr1	955500	991499
RNF223	chr1	1006347	1009686
C1orf159	chr1	1017191	1051741
TTLL10	chr1	1109260	1133320
TNFRSF18	chr1	1138888	1141972
TNFRSF4	chr1	1146706	1149533
SDF4	chr1	1152267	1174250
B3GALT6	chr1	1167617	1170421
C1QTNF12	chr1	1177826	1182102
UBE2J2	chr1	1189287	1209857
SCNN1D	chr1	1215816	1227409
ACAP3	chr1	1227756	1244989
PUSL1	chr1	1243947	1247057
INTS11	chr1	1246965	1260067
CPTP	chr1	1260136	1264277
TAS1R3	chr1	1266660	1270694
DVL1	chr1	1270656	1285325
MXRA8	chr1	1288069	1297157
AURKAIP1	chr1	1309109	1310901
CCNL2	chr1	1321091	1334719
MRPL20	chr1	1337288	1342686
ANKRD65	chr1	1351017	1357149
TMEM88B	chr1	1361251	1365635
VWA1	chr1	1370241	1378262
ATAD3C	chr1	1385069	1405543
ATAD3B	chr1	1407136	1433228
ATAD3A	chr1	1447527	1470066
TMEM240	chr1	1470158	1476004
SSU72	chr1	1477053	1510264
FNDC10	chr1	1533392	1535515
MIB2	chr1	1550814	1565990
MMP23B	chr1	1567044	1570639
CDK11B	chr1	1570601	1590695
SLC35E2B	chr1	1590990	1624456
CDK11A	chr1	1633818	1655921
NADK	chr1	1682671	1711983
GNB1	chr1	1716724	1823731
CALML6	chr1	1846547	1848735
TMEM52	chr1	1849028	1850768
CFAP74	chr1	1853390	1935276
GABRD	chr1	1950768	1962197
PRKCZ	chr1	1981850	2116834
FAAP20	chr1	2115900	2144159
SKI	chr1	2158827	2241652
MORN1	chr1	2250647	2323146
RER1	chr1	2322109	2336883
PEX10	chr1	2335403	2345236
PLCH2	chr1	2357419	2436971
PANK4	chr1	2439973	2458051
HES5	chr1	2460184	2461702
TNFRSF14	chr1	2485683	2496821
PRXL2B	chr1	2517930	2522909
MMEL1	chr1	2522078	2564455
TTC34	chr1	2568425	2718258
ACTRT2	chr1	2938031	2939467
PRDM16	chr1	2985732	3355185
ARHGEF16	chr1	3371114	3397691
MEGF6	chr1	3404506	3528107
TPRG1L	chr1	3541543	3546695
WRAP73	chr1	3547331	3569325
TP73	chr1	3569080	3652765
CCDC27	chr1	3663024	3688209
SMIM1	chr1	3689219	3693273
LRRC47	chr1	3695123	3713075
CEP104	chr1	3728650	3774287
DFFB	chr1	3773831	3801993
C1orf174	chr1	3805689	3816857
AJAP1	chr1	4714669	4852594
NPHP4	chr1	5922864	6053515
KCNAB2	chr1	6050987	6161253
CHD5	chr1	6161847	6240381
ENSG00000285629	chr1	6219490	6257817
RPL22	chr1	6245080	6269449
RNF207	chr1	6265452	6281359
ICMT	chr1	6281253	6296032
HES3	chr1	6304239	6305638
GPR153	chr1	6307407	6321158
ACOT7	chr1	6324328	6453827
HES2	chr1	6472478	6484750
ESPN	chr1	6484836	6521427
TNFRSF25	chr1	6520846	6526241
PLEKHG5	chr1	6527182	6580134
NOL9	chr1	6581407	6614596
TAS1R1	chr1	6615367	6639815
ZBTB48	chr1	6640054	6649340
KLHL21	chr1	6650784	6674667
PHF13	chr1	6673791	6684090
THAP3	chr1	6684905	6695646
DNAJC11	chr1	6694228	6761984
CAMTA1	chr1	6845514	7829766
VAMP3	chr1	7831356	7841492
PER3	chr1	7844351	7905241
UTS2	chr1	7903143	7913572
TNFRSF9	chr1	7975931	8003225
PARK7	chr1	8014324	8045565
ERRFI1	chr1	8064464	8086372
SLC45A1	chr1	8378164	8404227
RERE	chr1	8412457	8908980
ENO1	chr1	8921036	8939348
CA6	chr1	9005926	9035151
SLC2A7	chr1	9063032	9086482
SLC2A5	chr1	9095165	9148537
GPR157	chr1	9160364	9189181
H6PD	chr1	9294833	9331396
SPSB1	chr1	9352160	9429591
SLC25A33	chr1	9599524	9645231
TMEM201	chr1	9648779	9674935
PIK3CD	chr1	9689947	9790175
CLSTN1	chr1	9788984	9884051
CTNNBIP1	chr1	9908327	9970426
LZIC	chr1	9982171	10003465
NMNAT1	chr1	10003486	10045559
RBP7	chr1	10057112	10076079
UBE4B	chr1	10092890	10241302
KIF1B	chr1	10270591	10441664
PGD	chr1	10458649	10480568
CENPS-CORT	chr1	10490159	10512210
CENPS	chr1	10490490	10502865
CORT	chr1	10510088	10512055
DFFA	chr1	10516579	10532606
PEX14	chr1	10532345	10690815
CASZ1	chr1	10696661	10856707
CIROZ	chr1	11006528	11042133
TARDBP	chr1	11072401	11090585
MASP2	chr1	11082066	11107298
SRM	chr1	11114641	11120110
EXOSC10	chr1	11126670	11159955
MTOR	chr1	11166588	11322613
